序号,1、您的临床工作年限：,2、您是否接触或使用过AI辅助诊疗工具（包括AI问诊、辅助诊断、智能导诊等）？,3、安全性关注度评估—AI给出的诊断或病情解释可能不符合医学事实,3、AI的用药建议可能存在不当之处，如忽略禁忌证或药物相互作用,3、AI对特殊人群（如儿童、孕妇、老年患者）的建议可能不够审慎,3、AI在处理罕见病或复杂多病共存的情况时可能表现不足,3、AI的建议可能与现行临床指南或专家共识不一致,3、当输入的病历信息不够准确或完整时，AI仍可能给出看似合理的建议,3、AI给出的错误建议可能不容易被及时识别,3、AI在某个诊疗环节的建议偏差可能影响后续环节的判断,3、使用AI工具时患者隐私和数据安全可能存在风险,3、AI缺乏对患者情感状态和沟通需求的理解能力,3、目前缺乏有效的方法来系统检测AI诊疗建议中的安全隐患,4、总体而言，您认为当前的AI辅助诊疗工具在安全性方面是否已经达到可以辅助临床决策的水平？
23,3-5,使用过,5,5,4,5,3,4,5,4,3,2,5,完全不够
24,0-2,了解但未使用,4,4,4,4,5,5,4,5,3,2,3,完全不够
25,0-2,了解但未使用,5,4,4,5,4,4,4,4,2,3,5,不太够
26,0-2,了解但未使用,4,5,5,5,2,4,5,3,4,3,5,完全不够
27,3-5,了解但未使用,3,4,5,3,4,4,5,5,2,3,3,完全不够
28,0-2,不了解,5,5,5,3,4,4,3,4,3,4,3,不太够
29,3-5,使用过,5,5,5,4,3,3,5,4,2,3,3,完全不够
30,0-2,不了解,5,4,5,4,4,4,5,3,4,2,4,完全不够
31,0-2,不了解,5,5,3,4,4,4,4,4,5,1,2,不太够
32,3-5,了解但未使用,5,5,5,4,5,2,5,5,4,5,4,完全不够
33,3-5,了解但未使用,5,5,5,5,4,5,5,4,1,3,5,完全不够
34,3-5,使用过,5,5,3,3,4,4,5,4,2,3,4,完全不够
35,3-5,了解但未使用,5,5,3,4,3,4,3,5,4,4,3,不太够
36,3-5,了解但未使用,5,5,3,5,3,3,5,5,3,3,5,不太够
37,3-5,了解但未使用,5,4,3,5,4,4,3,3,3,4,5,完全不够
38,6年以上,使用过,5,5,5,5,5,4,3,4,4,5,5,完全不够
39,0-2,了解但未使用,5,5,5,3,2,3,4,2,3,5,4,完全不够
40,0-2,了解但未使用,5,5,4,5,5,4,4,3,3,3,3,完全不够
41,0-2,了解但未使用,5,5,5,5,4,4,5,5,4,3,5,完全不够
42,6年以上,使用过,5,5,4,4,2,3,5,5,3,4,5,完全不够
43,3-5,使用过,5,5,4,5,4,4,4,5,1,3,4,不太够
44,3-5,了解但未使用,5,4,5,4,4,4,5,3,4,4,4,完全不够
45,6年以上,了解但未使用,5,5,3,5,2,4,5,4,2,4,5,完全不够
46,0-2,了解但未使用,4,4,5,5,5,4,5,5,3,4,4,完全不够
47,0-2,使用过,4,5,5,5,4,5,5,5,3,2,4,完全不够
48,3-5,不了解,5,5,5,5,4,3,3,4,3,2,3,不太够
49,0-2,不了解,4,5,4,5,2,4,3,4,4,3,3,完全不够
50,0-2,使用过,5,5,5,4,2,4,3,4,4,4,4,完全不够
51,3-5,不了解,5,5,5,4,3,4,3,5,4,3,4,不太够
52,3-5,使用过,5,5,3,5,5,4,4,3,3,4,2,不太够
53,0-2,了解但未使用,5,5,3,5,4,3,4,4,5,2,4,完全不够
54,6年以上,了解但未使用,3,5,4,5,4,5,3,5,5,4,3,完全不够
55,3-5,了解但未使用,5,5,4,5,3,5,4,3,3,4,4,完全不够
56,6年以上,使用过,5,5,3,4,4,3,4,4,4,3,5,不太够
57,0-2,使用过,5,5,5,5,4,4,4,5,4,1,4,完全不够
58,0-2,不了解,3,5,5,5,1,4,5,3,2,4,5,完全不够
59,3-5,了解但未使用,5,5,3,5,3,3,5,4,3,3,5,完全不够
60,0-2,不了解,5,5,5,3,3,4,5,5,3,2,5,完全不够
61,6年以上,了解但未使用,5,5,3,4,3,2,5,4,5,4,5,完全不够
62,0-2,使用过,4,5,4,3,4,4,3,3,5,2,5,完全不够
63,0-2,了解但未使用,5,5,5,3,3,3,4,4,5,4,3,完全不够
64,0-2,了解但未使用,5,5,5,5,2,4,5,2,2,3,2,完全不够
65,0-2,了解但未使用,5,5,5,5,3,4,5,3,4,1,2,不太够
66,0-2,了解但未使用,5,5,5,4,3,4,3,4,2,3,4,完全不够
67,6年以上,使用过,5,4,5,4,3,4,5,5,4,3,5,不太够
68,0-2,不了解,4,5,5,5,3,5,5,5,4,1,4,完全不够
69,3-5,使用过,5,5,5,5,5,3,3,5,1,4,4,不太够
70,3-5,了解但未使用,4,5,5,5,2,4,5,3,2,2,3,一般
71,0-2,使用过,5,3,5,3,3,3,4,3,4,2,4,完全不够
72,0-2,使用过,5,5,5,5,4,5,3,3,5,1,5,一般
73,0-2,了解但未使用,5,5,5,4,4,5,2,3,4,1,5,不太够
74,6年以上,了解但未使用,5,5,5,5,4,2,5,5,1,1,5,完全不够
75,0-2,使用过,5,5,5,5,4,5,5,5,3,2,5,完全不够
76,3-5,了解但未使用,3,5,5,5,2,5,4,5,2,5,4,完全不够
77,0-2,使用过,3,5,4,5,4,3,4,4,3,3,5,不太够
78,0-2,了解但未使用,5,5,4,3,3,4,4,4,4,1,4,不太够
79,0-2,使用过,5,5,5,5,4,4,4,4,3,2,4,完全不够
80,0-2,使用过,4,5,5,3,4,5,4,3,2,2,4,完全不够
81,0-2,使用过,4,4,5,5,3,4,4,5,3,2,5,完全不够
82,0-2,不了解,5,5,5,5,4,4,4,3,5,1,4,完全不够
83,3-5,了解但未使用,3,4,3,3,4,4,3,4,5,4,5,不太够
84,0-2,使用过,5,5,5,5,3,2,5,4,1,3,3,完全不够
85,0-2,了解但未使用,5,4,5,5,4,5,5,3,3,4,3,不太够
86,0-2,了解但未使用,4,4,3,5,3,3,5,5,5,4,4,不太够
87,0-2,使用过,5,5,5,4,3,4,4,3,3,4,4,完全不够
88,3-5,使用过,5,4,5,5,2,4,4,5,3,2,3,完全不够
89,6年以上,使用过,5,5,4,5,5,3,4,5,2,3,3,完全不够
90,3-5,使用过,4,5,5,4,4,3,3,3,3,5,3,完全不够
91,0-2,不了解,5,5,4,3,3,4,5,3,4,1,4,完全不够
92,0-2,了解但未使用,5,4,5,4,1,3,3,4,5,2,3,不太够
93,0-2,了解但未使用,4,4,5,4,4,3,5,5,1,3,4,完全不够
94,0-2,使用过,5,5,4,5,3,4,4,5,5,3,4,完全不够
95,0-2,了解但未使用,5,5,3,5,3,4,5,5,2,3,4,一般
96,0-2,使用过,5,4,4,3,4,4,5,5,3,1,5,完全不够
97,3-5,了解但未使用,5,5,5,4,3,4,3,5,2,2,4,一般
98,0-2,不了解,5,5,5,3,2,5,5,4,3,1,3,完全不够
99,0-2,不了解,5,5,5,5,3,3,5,4,5,3,5,不太够
100,0-2,了解但未使用,5,5,5,3,3,3,3,3,4,3,3,不太够
101,3-5,了解但未使用,5,5,4,5,4,4,5,4,3,3,3,不太够
102,0-2,了解但未使用,5,5,5,4,2,4,5,5,1,1,3,完全不够
103,6年以上,使用过,4,5,4,5,5,4,2,5,3,3,5,完全不够
104,6年以上,了解但未使用,5,5,3,5,1,4,4,5,4,4,5,完全不够
105,6年以上,了解但未使用,4,5,3,5,2,4,5,2,3,3,4,完全不够
106,0-2,了解但未使用,5,5,5,5,3,4,5,4,1,3,3,完全不够
107,3-5,了解但未使用,5,4,5,4,1,5,5,3,3,2,5,不太够
108,3-5,了解但未使用,5,5,5,5,5,4,3,5,4,3,3,完全不够
109,0-2,了解但未使用,5,5,5,3,2,4,5,5,3,2,5,不太够
110,6年以上,不了解,5,5,3,5,4,4,3,5,3,2,5,基本够用
111,0-2,了解但未使用,4,4,4,5,3,4,5,4,2,5,4,完全不够
112,0-2,了解但未使用,5,4,5,5,2,5,5,3,4,2,3,完全不够
